case_kind,seed,method,failure_type,progress_ratio,min_clearance_m
parked_and_oncoming,5,B0,unreached_or_fallback_stop,0.4252818936297049,0.3292019501943625
parked_and_oncoming,5,B1,unreached_or_fallback_stop,0.4252818936297049,0.32920195019425286
parked_and_oncoming,5,B2,unreached_or_fallback_stop,0.4252818936297049,0.32920195019425286
parked_and_oncoming,5,MIKU,unreached_or_fallback_stop,0.4959961521848312,0.23073388762455727
parked_and_oncoming,7,B0,unreached_or_fallback_stop,0.5590967606751961,0.28068491485308433
parked_and_oncoming,7,B1,unreached_or_fallback_stop,0.09698433763683968,1.0108622347702592
parked_and_oncoming,7,B2,unreached_or_fallback_stop,0.09698433763683968,1.0108622347702592
parked_and_oncoming,7,MIKU,unreached_or_fallback_stop,0.09698433763683968,1.0108622347702592
parked_and_oncoming,8,B0,unreached_or_fallback_stop,0.31789501821186733,0.33958357856835475
parked_and_oncoming,8,B1,unreached_or_fallback_stop,0.10297384236005658,0.9372401746160168
parked_and_oncoming,8,B2,unreached_or_fallback_stop,0.10297384236005658,0.9372401746160168
parked_and_oncoming,8,MIKU,unreached_or_fallback_stop,0.51884762689391,0.21045154925729692
parked_and_oncoming,9,B0,unreached_or_fallback_stop,0.11005016747703614,0.7726838614470308
parked_and_oncoming,9,B1,unreached_or_fallback_stop,0.11005016747703614,0.7726838614470308
parked_and_oncoming,9,B2,unreached_or_fallback_stop,0.11005016747703614,0.7726838614470308
parked_and_oncoming,9,MIKU,unreached_or_fallback_stop,0.11005016747703614,0.7726838614470308
parked_and_oncoming,11,B1,unreached_or_fallback_stop,0.1277834107311357,1.3430561635952194
parked_and_oncoming,11,B2,unreached_or_fallback_stop,0.1277834107311357,1.3430561635952194
parked_and_oncoming,13,B0,unreached_or_fallback_stop,0.241138947902135,0.42352731533732646
parked_and_oncoming,13,B1,unreached_or_fallback_stop,0.241138947902135,0.42352731533858146
parked_and_oncoming,13,B2,unreached_or_fallback_stop,0.241138947902135,0.42352731533858146
parked_and_oncoming,13,MIKU,unreached_or_fallback_stop,0.341369725938269,0.32872237745328636
parked_and_oncoming,14,B1,unreached_or_fallback_stop,0.09415820891110856,1.2368020905064436
parked_and_oncoming,14,B2,unreached_or_fallback_stop,0.09415820891110856,1.2368020905064436
parked_and_oncoming,16,B0,unreached_or_fallback_stop,0.6487348142713916,0.29586095084992436
parked_and_oncoming,16,B1,unreached_or_fallback_stop,0.6487348142713916,0.29586095084992436
parked_and_oncoming,16,B2,unreached_or_fallback_stop,0.6487348142713916,0.29586095084992436
parked_and_oncoming,17,B0,unreached_or_fallback_stop,0.33018449641998754,0.3060953222204206
parked_and_oncoming,17,B1,unreached_or_fallback_stop,0.33018449641998754,0.306095322220441
parked_and_oncoming,17,B2,unreached_or_fallback_stop,0.33018449641998754,0.306095322220441
parked_and_oncoming,18,B0,unreached_or_fallback_stop,0.23160412010969736,0.3893466083703694
parked_and_oncoming,18,B1,unreached_or_fallback_stop,0.23160412010969736,0.3893466083703694
parked_and_oncoming,18,B2,unreached_or_fallback_stop,0.23160412010969736,0.3893466083703694
parked_and_oncoming,18,MIKU,unreached_or_fallback_stop,0.30687472399327365,0.32977140653590775
parked_and_oncoming,21,B0,unreached_or_fallback_stop,0.10035642476929171,1.0006513673808126
parked_and_oncoming,21,B1,unreached_or_fallback_stop,0.10035642476929171,1.0006513673808126
parked_and_oncoming,21,B2,unreached_or_fallback_stop,0.10035642476929171,1.0006513673808126
parked_and_oncoming,21,MIKU,unreached_or_fallback_stop,0.1193056997837219,0.5621421197538055
parked_and_oncoming,22,B0,unreached_or_fallback_stop,0.10382552884047967,0.9909014783186327
parked_and_oncoming,22,B1,unreached_or_fallback_stop,0.10382552884047967,0.9909014783186327
parked_and_oncoming,22,B2,unreached_or_fallback_stop,0.10382552884047967,0.9909014783186327
parked_and_oncoming,22,MIKU,unreached_or_fallback_stop,0.21845777429558363,0.4516026743476145
parked_and_oncoming,24,B0,unreached_or_fallback_stop,0.6544497075872344,0.29821163891422936
parked_and_oncoming,24,B1,unreached_or_fallback_stop,0.6544497075872344,0.29821163891422936
parked_and_oncoming,24,B2,unreached_or_fallback_stop,0.6544497075872344,0.29821163891422936
parked_and_oncoming,25,B0,unreached_or_fallback_stop,0.19615403999157516,0.4943208185460737
parked_and_oncoming,25,B1,unreached_or_fallback_stop,0.19615403999157516,0.4943208185460737
parked_and_oncoming,25,B2,unreached_or_fallback_stop,0.19615403999157516,0.4943208185460737
parked_and_oncoming,25,MIKU,unreached_or_fallback_stop,0.2548395593828353,0.4378480055730285
parked_and_oncoming,26,B0,unreached_or_fallback_stop,0.11867299051110833,0.7482667523381217
parked_and_oncoming,26,B1,unreached_or_fallback_stop,0.11867299051110833,0.7482667523381217
parked_and_oncoming,26,B2,unreached_or_fallback_stop,0.11867299051110833,0.7482667523381217
parked_and_oncoming,26,MIKU,unreached_or_fallback_stop,0.11867299051110833,0.7482667523381217
parked_and_oncoming,27,B0,unreached_or_fallback_stop,0.1567140915446349,0.49615526147892686
parked_and_oncoming,27,B1,unreached_or_fallback_stop,0.1567140915446349,0.49615526147892686
parked_and_oncoming,27,B2,unreached_or_fallback_stop,0.1567140915446349,0.49615526147892686
parked_and_oncoming,27,MIKU,unreached_or_fallback_stop,0.27153479188738966,0.24044715599706068
parked_and_oncoming,28,B0,unreached_or_fallback_stop,0.3575280263463863,0.34948526395624047
parked_and_oncoming,28,B1,unreached_or_fallback_stop,0.3575280263463863,0.34948526395624047
parked_and_oncoming,28,B2,unreached_or_fallback_stop,0.3575280263463863,0.34948526395624047
parked_and_oncoming,28,MIKU,unreached_or_fallback_stop,0.4749161387047102,0.22220867044747106
parked_and_oncoming,30,B0,unreached_or_fallback_stop,0.7020538547419326,0.2934976788149446
parked_and_oncoming,30,B1,unreached_or_fallback_stop,0.7020538547419326,0.2934976788149446
parked_and_oncoming,30,B2,unreached_or_fallback_stop,0.7020538547419326,0.2934976788149446
parked_and_oncoming,33,B1,unreached_or_fallback_stop,0.12129962576657453,1.275244793102393
parked_and_oncoming,33,B2,unreached_or_fallback_stop,0.12129962576657453,1.275244793102393
parked_and_oncoming,34,B0,unreached_or_fallback_stop,0.6470705715589113,0.283145008211763
parked_and_oncoming,34,B1,unreached_or_fallback_stop,0.6470705715589113,0.283145008211763
parked_and_oncoming,34,B2,unreached_or_fallback_stop,0.6470705715589113,0.283145008211763
parked_and_oncoming,36,B0,unreached_or_fallback_stop,0.08512133516920296,0.7461900756607007
parked_and_oncoming,36,B1,unreached_or_fallback_stop,0.08512133516920296,0.7461900756607007
parked_and_oncoming,36,B2,unreached_or_fallback_stop,0.08512133516920296,0.7461900756607007
parked_and_oncoming,36,MIKU,unreached_or_fallback_stop,0.08512133516920296,0.7461900756607007
parked_and_oncoming,38,B0,unreached_or_fallback_stop,0.5477031085674502,0.26000107391912053
parked_and_oncoming,38,B1,unreached_or_fallback_stop,0.5477031085674502,0.26000107391912053
parked_and_oncoming,38,B2,unreached_or_fallback_stop,0.5477031085674502,0.26000107391912053
parked_and_oncoming,41,B0,unreached_or_fallback_stop,0.542801389521184,0.3006834898745556
parked_and_oncoming,41,B1,unreached_or_fallback_stop,0.542801389521184,0.3006834898745556
parked_and_oncoming,41,B2,unreached_or_fallback_stop,0.542801389521184,0.3006834898745556
parked_and_oncoming,41,MIKU,unreached_or_fallback_stop,0.6847815973587064,0.22072869758242875
parked_and_oncoming,43,B1,unreached_or_fallback_stop,0.09154491576875431,1.1123232516123922
parked_and_oncoming,43,B2,unreached_or_fallback_stop,0.09154491576875431,1.1123232516123922
parked_and_oncoming,44,B0,unreached_or_fallback_stop,0.6116088177093721,0.3050342404720886
parked_and_oncoming,44,B1,unreached_or_fallback_stop,0.6116088177093721,0.3050342404720761
parked_and_oncoming,44,B2,unreached_or_fallback_stop,0.6116088177093721,0.3050342404720761
parked_and_oncoming,49,B0,unreached_or_fallback_stop,0.1482627012493349,0.3806383830313485
parked_and_oncoming,49,B1,unreached_or_fallback_stop,0.1482627012493349,0.3441576322294844
parked_and_oncoming,49,B2,unreached_or_fallback_stop,0.1482627012493349,0.3441576322294844
parked_and_oncoming,49,MIKU,unreached_or_fallback_stop,0.1482627012493349,0.3981714130697583
parked_and_oncoming,51,B0,unreached_or_fallback_stop,0.08702332012910763,0.8506568564082451
parked_and_oncoming,51,B1,unreached_or_fallback_stop,0.08702332012910763,0.8506568564082451
parked_and_oncoming,51,B2,unreached_or_fallback_stop,0.08702332012910763,0.8506568564082451
parked_and_oncoming,51,MIKU,unreached_or_fallback_stop,0.3148439952084811,0.4813290030147971
parked_and_oncoming,57,B0,unreached_or_fallback_stop,0.273421500945207,0.4185802199618682
parked_and_oncoming,57,B1,unreached_or_fallback_stop,0.273421500945207,0.4185802199618682
parked_and_oncoming,57,B2,unreached_or_fallback_stop,0.273421500945207,0.4185802199618682
parked_and_oncoming,57,MIKU,unreached_or_fallback_stop,0.5141174222679703,0.17892103056780417
parked_and_oncoming,58,B0,unreached_or_fallback_stop,0.5789161511353283,0.30442637727839905
parked_and_oncoming,58,B1,unreached_or_fallback_stop,0.5789161511353283,0.3044263772784177
parked_and_oncoming,58,B2,unreached_or_fallback_stop,0.5789161511353283,0.3044263772784177
parked_and_oncoming,58,MIKU,unreached_or_fallback_stop,0.6632234529936792,0.241306284145403
parked_and_oncoming,60,B0,unreached_or_fallback_stop,0.12347488399165826,0.7581290688047586
parked_and_oncoming,60,B1,unreached_or_fallback_stop,0.12347488399165826,0.7581290688047586
parked_and_oncoming,60,B2,unreached_or_fallback_stop,0.12347488399165826,0.7581290688047586
parked_and_oncoming,60,MIKU,unreached_or_fallback_stop,0.12347488399165826,0.7581290688047586
